index,content
辅酶Q10负责什么？,辅酶Q10负责帮助心肌细胞产生能量，有助于提高心肌的带氧量。
辅酶Q10批号和生产地址在瓶子哪里？,国产辅酶Q10的批号和生产地址通常是在瓶子上的标签上，可以找到相关信息。
我们的奶粉出现涨袋后还能喝吗？,奶粉出现涨袋后就不再适合饮用，建议停止使用并联系售后进行更换。
羊奶粉没有羊奶味，老伴喝了拉肚子，可以给厂家反馈吗？,可以向厂家反映，老伴出现拉肚子的情况可能与羊奶出现问题有关，需要进一步调查原因。
三宝丸糖尿病每天怎么吃最好？,关于三宝丸糖尿病的最佳服用方式，请遵循产品说明书中的指导，或向专业人士咨询。
在什么情况下可能需要更换储存产品？,当产品变质时，应立即更换储存产品，并将变质产品寄回采购部处理。
顾客服用安捷康后手关节疼，膝盖疼，怎么解决？,建议顾客停止服用安捷康，并向专业人士咨询，寻求合适的替代方案。
辅酶Q10适合有尿蛋白的肾功能不好的顾客吗？,肾功能不全的顾客不适宜服用辅酶Q10，以避免加重肝脏、肾脏的负担。建议在医生指导下合理选择保健品。
肽服用后出现小疙瘩，需改变服用量吗？,肽可能对部分人体负有过敏反应，建议减少服用量并稀释后分次服用，若仍有反应，应停止使用并就医咨询。
新辅酶的保质期是多久？,新辅酶的保质期是3年。
辅酶的纯度和添加量是多少？,辅酶是还原型，纯度达到96%，每粒添加量为100mg。
服用新品辅酶q10是否影响雌激素水平？,新品辅酶q10包裹于大豆软磷脂中，服用不会显著影响雌激素水平。
对于脾虚、气虚的淋巴瘤患者，可以服用三宝丸吗？,建议咨询中医师，因为铁皮石斛属于清热作用，患者体质较寒，需咨询专业医生。
冲剂和片剂有什么优劣势？,冲剂容易氧化、受胃酸影响，一般用于吸收缓慢的中药颗粒剂型和不容易被胃酸破坏的原料成分剂型；片剂的包衣可以减缓有效成分和空气接触和胃酸反映，造粒的作用在于可以缓慢释放有效成分，充分吸收和利用。
冲剂和片剂如何决定使用何种剂型？,剂型一般是根据配方的吸收、氧化、耐高温、过敏反应、缓释或靶向、法规、添加量等方向决定，所以不一定片剂就优于粉剂，具体剂型更合理要根据配方来定。
服用高蛋白食物会对肾有影响吗？,服用高蛋白的食物会引起尿素氮升高，可能会对肾有影响。
海鲜过敏的人可以吃磷虾油吗？,海鲜过敏的人不建议食用磷虾油。
服用胶原蛋白肽后尿素氮升高，该继续服用吗？,服用高蛋白的食物会引起尿素氮升高，对肾可能会有影响，建议先停止，稳定之后减少服用量再试试。严重的肾病如果一直高先不要继续服用。
牦牛骨胶原蛋白肽滴到眼睛里是否可以？,不可以，眼睛很脆弱，研发部门也表示不可以
羊奶粉在保质期内且包装完好，为何颜色变了？,可能是氧化导致的变色
什么是辅酶Q10？,辅酶Q10是一种维生素样的物质，也称作辅酶Q，它在人体内存在，并且对维持健康至关重要。
[庆祝]人康发光者活动引起全球华人响应是什么？,2023年，人康集团发起了“全民追光”活动，得到广大会员和全球华人的热烈响应。
食道癌术后能否服用益生菌？,术后建议遵医嘱，不能擅自服用益生菌。
益生菌是否会引起过敏？,益生菌通常不会引起过敏，但个别人可能对某些益生菌成分过敏，因此在选择益生菌产品时，建议先进行敏感测试。
牦牛骨胶原蛋白肽的生产厂商是哪家？,牦牛骨胶原蛋白肽生产厂商是天津恒健盛大生物科技有限公司，国药集团天目湖药业只是经销商。
保健品对于康复有哪些帮助？,保健品可以辅助康复，但不能替代治疗。在医生的指导下，选用适合自己身体状况的保健品，有助于维持身体的健康状态，促进康复。
如何选择合适的保健品？,选择保健品时需要根据个人的身体状况、年龄、性别等因素进行选择，最好在医生的指导下进行选择。此外，选择保健品时应注意产品的认证情况和生产厂家的信誉度。
有顾客服用磷虾油出现胃热、烧慌、打嗝、便秘等症状，是什么原因？,建议停止服用并向医生咨询，症状可能与个体体质或过敏有关。
羊奶粉保质期内颜色不一致，是否变质？可否饮用？,变质的羊奶粉会有异味和结块现象，建议不要饮用，以免引起身体不适。
客户说连续4天不排便，吃了2000亿的益生菌是否减量或者加量？,建议咨询医生，便秘可能不只是益生菌用量问题。
辅酶Q10的纯度是多少？,96%
有关辅酶Q10下单问题，平台库存数有已经通知增加吗？,是的，上午已经告知平台增加平台库存数
客户吃了2000亿红盒益生菌持续性口腔溃疡，这种情况如何解释和处理,可能是对益生菌产生了不良反应，建议停止使用并就医咨询
顾客喝上肽开始头晕，恶心.跑肚严重，这是怎么回事呀,可能出现不良反应，建议停止使用并就医咨询
患有肝钙化点和甲高脾大的透析病人是否能服用孢子粉？,患有肝钙化点和甲高脾大的透析病人最好先咨询专家，确认是否能够安全服用孢子粉。
为什么益生菌产品会出现多种规格和价格？,益生菌产品的不同规格和价格是根据添加的益生菌菌株种类数量和益生元种类数量而定的。不同规格可能含有不同数量和种类的益生菌菌株和益生元，价格也会相应有所差异。
牦牛肽引起的过敏反应该怎么解释？,牦牛肽引起的过敏反应可能是蛋白质吸收障碍或免疫力低下引起的蛋白质不耐受。吸收障碍可以调理肠道功能后再服用，而过敏引起的则不宜服用。
如何正确保存辅酶软胶囊？,辅酶软胶囊应该放在冰箱里保鲜存放，以防止黏连并保持有效成分的活性。持续高温会导致软胶囊黏连。
产品参数显示500毫克，实际上每粒含多少毫克？,产品参数中显示的500毫克可能有误，实际每粒含100毫克，需要修正参数信息。
磷虾油对于上火有影响吗？,磷虾油中几乎没有嘌呤，根本不影响尿酸，因此它不会导致上火的反映。
服用益生菌后引起头痛，该如何处理？,如果顾客服用完益生菌后引起头痛，建议停止服用，并在适当时候咨询医生意见。
白内障手术后多久可以开始服用蓝莓？,建议在做完手术后咨询医生是否可以开始服用蓝莓
喝羊奶粉时有草的反应怎么办？,建议检查羊奶粉是否受到污染或者有其他情况，谨慎品尝或者寻求相关专业意见
是否可以自己直接向顾客发送案例视频?,不要自己直接发案例视频在任何地方。自己推送视频属于个人行为，通过公司提供的线上平台是公司行为，任何个人行为导致的风险，公司不负责。
辅酶Q10新款可以与心脏药同服吗？,不要放在一起服用，应该间隔1.5小时左右服用。如果客户有严重的心脏问题，还伴随心衰，可能需要根据具体情况调整辅酶的用量。
辅酶Q10新款怎么服用？,可以根据情况服用2-3粒，根据客户是否正在服用心脏药、心脏状况等因素进行调整。
辅酶Q10应该如何储存？,不要长时间放置在高温密闭的环境内，尽量避免阳光直晒产品，最好放置在冰箱的保温层，非冷冻，然后晃动一下，这样可以更好的保护辅酶的活性长久。
痛风的客户，能吃我们的肽吗？,能吃，但要注意蛋白质摄入过量会导致消化不良，需要适量摄入。
发现辅酶Q10空瓶或重量异常时应该怎么处理？,空瓶或重量异常可能是包装过程中出现的问题，建议联系工厂或供应商进行更换或解决。
服用三宝丸后出现尿道发烫的情况该怎么处理？,尿道发烫可能是尿道感染、妇科炎症或男性前列腺增生所致，建议客户就医寻求专业诊断。
服用肽后白天小便增多是什么情况？,白天小便增多可能是由于过量摄入蛋白质导致肾脏负担加重，或是蛋白质产生尿液增加所导致的，建议客户就医检查肾功能。
血糖高有问题的客户，可以吃肽吗？,血糖高的客户可以适量食用肽，但对于肾功能不良的客户，应尽量避免服用肽。
平台审核后会即刻退款原支付路径吗？,是的，申请退款后，平台会立即退款到原支付路径。
食用虾油对过敏有影响吗？,食用虾油可能引起过敏反应，不建议继续食用并应及时就医。
牛初乳变色、变软后还能继续使用吗？,牛初乳变色并变软通常是因储存不当导致受潮，不宜继续使用。
全员会议的议程有哪些内容？,1、整体促销节奏安排讲解+促销月激励政策；2、优秀榜样分享；3、重要事项同步；4、董事长讲话。
老顾客调查问卷中包括哪些问题？,1、您是否每天坚持服用牦牛骨蛋白肽？ 是/否； 2、您每天服用多少袋牦牛骨蛋白肽？ 数字； 3、坚持服用效果更好，请问您还有多少盒未服用的牦牛骨蛋白肽？ 6盒以下、6-12盒、12盒以上。
还原型辅酶Q10造成胃部不适有哪些可能原因？,胃部不适可能是由于胃酸过多与辅酶的酶解物质发生反应，或是胶囊皮产生反映，解决办法是剪开胶囊皮或直接服用内容物。
辅酶含量是多少？,每粒含辅酶100mg，纯度为96%。
iga肾病患者可以服用磷虾油吗？,需要咨询医生，不能直接给出建议。
肽盒子上两个专利都没有授权怎么办？,建议与产品供应商联系，核实专利授权情况并协助解决。
服用叔叔品脆骨肽几天出现小红点和痒是怎么回事？,可能是过敏反应，建议停止服用并寻求医生建议。
服用进口辅酶后出现身体瘙痒的情况，是怎么回事？,可能是皮肤过敏反应，建议停止服用并咨询专业人士。
如何查询红磷虾油的溯源地？,输入执行标准号为4521222001进行查询；另外，最新一批次的包装将印刷查询码在包装正面，印刷完成后会在群内公示。
服用肽后出现胳膊疼痛的情况，可能是怎么回事？,这可能是旧疾再次发作，建议寻求医生帮助做进一步的评估和治疗。
顾客反映奶粉里有小虫子怎么处理？,需要提供产品批号和盒子照片以及采购记录进行反馈处理。
顾客反映奶粉口感差，应该怎么回复？,需要提供产品批号和盒子照片，进行进一步了解和处理。
如何处理客户反映奶粉变质的情况？,需提供产品批号和盒子照片，同时可以向相关管理部门或产地索取反馈处理。
什么是U盾？,U盾是指一种用于身份认证、签名加密等功能的智能卡。
顾客吃完安捷康胃不舒服，有人喝药粉缓解，安捷康胶囊壳成分是什么？不易消化吗？,安捷康胶囊壳主要成分可能包括明胶、甘油等，所以有些顾客可能不易消化。喝药粉可能有缓解作用，但建议在医生指导下服用。
一天吃四粒牛初乳导致拉肚子是怎么回事？,一天吃四粒牛初乳导致拉肚子可能是因为过量服用，建议适量服用并咨询医生。
还原型辅酶Q10的配料表和服用说明，进口的不太懂，应该怎么解释？,还原型辅酶Q10的配料表应该包括主要配料和副作用等信息，并且应该有中文说明书。可以向生产商或者相关部门咨询解释，以便为顾客提供准确的信息。
还原型的辅酶Q10的服用量和时间应该怎么调整？,根据产品说明，还原型的辅酶Q10一般建议饭后服用，每天两次，一次一粒，但具体用量应该根据顾客的实际情况进行调整，并遵循医生的建议。
服用孢子粉一个月拉肚子是什么情况？,孢子粉可能具有促进肠道蠕动的作用，但如果持续拉肚子可能需要停止使用，并咨询医生进行进一步诊断。
什么是生物基因？,生物基因主要研究生物体内基因的结构、功能和调控，属于生物工程和基因应用的范畴。
我服用益生菌后出现腹泻，是什么原因？,腹泻可能与益生菌的使用有关，建议停止使用并咨询医生。
有关辅酶Q10的购买数量限制和下单问题，能否解答一下？,根据辅酶Q10的购买限制，建议遵循商家制定的限购规则，不宜一直以同一账号购买大量产品。建议与顾客沟通并引导他们理解相关政策。
顾客有肾炎可以喝肽吗？,肾炎患者不宜服用肽，需要控制蛋白质和钾的摄入。
辅酶陆续下单一个星期了，还没发货，怎么回事？,建议联系客服查询订单情况，可能是库存不足或物流延迟导致未能及时发货。
羊奶粉发黄，还能继续喝吗？,羊奶粉发黄表示可能已经氧化变质，建议停止食用并联系售后处理。
我这顾客为什么收不到红包呢？,红包可能有特定使用条件，或者系统问题导致无法正常发送，建议顾客联系客服查询具体原因。
辅酶14号为什么还未到货，怎么查物流？,辅酶14号订单为何未到货，可以如何查询物流信息？
什么保健品适合服用一日一粒？,有哪些保健品适合每日服用一粒？
为什么辅酶一直不发货啥情况？,可能是库存不足或物流延迟导致未能及时发货，建议联系客服查询具体订单情况。
18年的细胞能量液产品还可以使用吗？,18年购买的细胞能量液产品是否还可以使用？
辅酶Q10的添加量是多少？,辅酶Q10的添加量是每粒100mg。
安捷康对肝脏负担大吗？,从原料角度讲，安捷康对肝脏没有影响，但具体配方含量还需了解更多。
益生菌引起拉肚子，下一步应该怎么用？,拉肚子可能是益生菌引起的排病反应，建议逐渐减少剂量，观察肠道状况。
三宝丸孢子粉有什么作用？,三宝丸孢子粉主要可以改善肠道菌群，增强免疫力。
牛初乳打开后变色了，顾客不敢吃了，这是什么情况？,变色的牛初乳可能是由于返潮，已经变质，不能继续食用。
溃疡性结肠炎可以吃益生菌吗？,益生菌可以缓解溃疡性结肠炎的不适症状，但治愈溃疡性结肠炎还是建议就医。
服用益生菌是否会加重胃食管反流？,一般情况下，益生菌作用在肠道，并不会加重胃食管反流，可继续服用或减量服用。
化疗期间可以吃益生菌吗？,一般情况下可以适当吃益生菌，但最好在医生指导下进行。
羊奶粉质量不一致怎么解释？,可以解释为生产工艺问题或者储存运输过程中的管理不善导致的质量差异。
如何操作肽的对比实验？,操作肽的对比实验需要首先确定实验目的和对比对象，然后设计实验方案，包括取样、处理、测定等步骤，并最终进行数据分析和结果解释。
益生菌引起腹泻后又便秘是否属于正常反应？这种情况大概持续多久？,益生菌引起腹泻后又便秘并不属于正常反应，应该咨询专业人士寻求帮助。
购买保健品的数量和频率有哪些限制？,每个订单身份证认证、支付账户必须为同一人，每天下单次数不得超过2次，每笔订单下单数量最多8瓶，两笔订单间隔时间保证在2小时以上。
什么是赫氏消亡反应？通常需要多久恢复正常？,赫氏消亡反应是指在服用保健品后出现的暂时性不适反应，通常持续1-4周。
抗癌药和益生菌需要隔开多长时间服用？,间隔1小时后再服用益生菌。
长期服用磷虾油会导致头疼吗？,长期服用磷虾油可能导致头疼，建议调整用药方案或者咨询医生。
服用益生菌后出现黑色物质是什么？,服用益生菌后出现黑色物质，建议咨询医生了解具体原因。
服用还原型辅酶Q10后出现胃部不适怎么办？,不要空腹服用还原型辅酶Q10，饭后半小时内不要服用，同时避免与酸性物质一同服用。如果服用后出现胃部不适，建议咨询医生。
保税区投递时联系不到本人怎么办？,快递会联系2-3次，未联系到会退回
如何解决辅酶Q10胶囊皮偶尔出现黏连的情况?,胶囊皮的黏连可能源于其硬度，而硬度受甘油和明胶的比例影响。在炎热的夏天，部分黏连情况可能出现。建议放置辅酶在冰箱的保温层冷藏，并轻微晃动一下，这样可以更好地保护辅酶的活性长久。
顾客服用肽出现呕吐是什么情况？,呕吐原因可能很多，需要确认是否由服用肽引起，如果是建议停服或减量。如果依然引起同样反应，则不建议继续使用
服用肽有哪些注意事项？,应了解正确的服用方法和用量，同时需要注意产品搭配和长期使用效果。
益生菌导致肠胃不舒服怎么办？,可能需要减少服用量或停止使用，建议咨询医生意见。
我的顾客手机号13171552637收不到红包怎么办？,建议检查手机号是否填写无误，同时确认红包发送是否成功，如果依然存在问题，可以联系客服协助解决。
蛋白肽配料表包含哪些成分？,1、主料牦牛骨蛋白肽占比95%以上，2、甜味剂，占比很低，调口感功效，3、食用香精，占比低，调口感功效。（甜味剂+食用香精占比不超过5%）
服用肽后出现全身瘙痒的顾客应该怎么处理？,如果属于肽引起的过敏反应，则不能继续服用，可能是季节性过敏，亦可能是肽引起的过敏，建议停止服用。
客户吃了耗牛骨胶原蛋白肽后，胃胀不能吃饭，晚上还睡不着，头晕眼花，胸闷，怎么回事？,蛋白肽产品一般都不会直接引起以上症状，要了解客户基础病和服用其他药物原因，个人体质原因服用后如出现各种明显不适，需要停服，不建议服用。
为什么同一个顾客答了两个视频答题一个收到红包，另一个没收到？,需要核对顾客是否完成了答题和答题正确与否，应该以店长端后台的答题详情为准。
一个顾客的女儿30岁，正在吃中药调理内分泌，问可以同时吃三宝丸吗？,不建议同时服用中药和三宝丸，建议咨询中医或药剂师的意见。
客户服用益生菌头晕是怎么回事？,头晕等不适可能与个人体质原因相关，建议停止服用并就医进行进一步检查。
软斑和硬斑有什么区别，软斑会不会变成硬斑？,软斑不稳定，容易崩解或脱落形成梗塞，硬斑是软斑钙化了，相对稳定，但较大，狭窄移度严重。
吃磷虾油尿酸高了是怎么回事？,高尿酸可能是磷虾油引起的，建议咨询医生进行进一步评估和调整用药方案。
顾客胃切除，服用益生菌后肚子绞痛是怎么回事？,肚子绞痛可能是由于益生菌引起的胃肠突然蠕动加快、各段不同步，建议减小剂量，饭后服用，并忌冷硬油腻食物。
脾摘除后喝了牦牛肽一直肚子疼，停了肽就不疼了，请问还坚不建议继续喝？,不建议继续喝牦牛肽，脾摘除后对蛋白质吸收有影响，可能导致肚子疼，建议咨询医生或药剂师的意见。
奶粉出现涨袋后还能喝吗？,如果已经出现涨袋，建议停止食用并联系相关负责人进行处理
购买后还能下单吗？,可以继续下单
新辅酶有哪些可能的副作用？,可能会出现平躺睡不了觉，出气不顺，胸口憋闷等不适，建议停止服用并咨询医生
服用肽后不能睡觉的原因是什么？,可能是因为服用肽后引起的反应，建议减少用量或停用，并咨询专业医生。
安捷康会引起转氨酶升高吗？,安捷康含的成分不影响转氨酶，对肝脏没什么副作用。
甲状腺恶性肿瘤手术后能否服用金虾油？,甲状腺恶性肿瘤手术后不适宜服用金虾油。
蛋白肽引起的胸闷问题该如何处理？,建议联系肽的工厂研发咨询原因，并根据个体情况适量服用，如果存在过敏反应或其他不适症状，建议停服并咨询医生建议。
磷虾油适合血小板偏低、胆红素高的情况吗？,对于血小板偏低、胆红素高的情况，建议在医生的指导下服用磷虾油。
客户服用蛋白肽后出现血压升高，是否存在关联？,蛋白肽不会直接导致血压升高，但存在高血压疾病史或对蛋白肽过敏反应可能导致血压升高。建议在服用前咨询医生建议，如出现不适症状停止服用。
吃完益生菌胃拧着疼怎么回事？,可能是个体差异或者在食用益生菌初期出现的暂时性不适，可以暂停食用一段时间，如果症状持续可以咨询医生。
肾有问题的客户可否服用蛋白肽？,肾有问题的客户不宜服用蛋白肽，过度服用蛋白质会给肾小球增加工作负担，可能导致肾排泄异常和水肿。
客户服用中药期间是否可以服用蛋白肽？,一般情况下可以服用蛋白肽，但需要根据个体情况适量服用。
肺移植患者能否服用益生菌？,肺移植患者可服用益生菌，因益生菌主要对肠道有益，与肺部无直接关联。然而，在服用前应咨询医生。
有什么原因导致服用虾油后血压升高？,服用虾油后出现血压升高可能是个体反应，建议暂停服用并咨询医生。
顾客服用牦牛肽后出现类似过敏反应和瘙痒症状该如何解释？,可能是个体过敏反应，建议停止服用牦牛肽并向医生咨询。
顾客服用肽＋钙后出现高尿蛋白和高血糖，是否建议继续服用？,建议了解所服用的钙和肽的成分，如存在不确定因素或个体状况考量，建议在医生指导下决定是否继续服用。
第一次吃辅酶q10就出现鼻子出血，跟辅酶有关系吗？,可能跟辅酶有关，建议减少剂量并留意其他症状。
顾客反馈7月份的益生菌口味酸，跟之前买的口感不一样，怎么解释？,联系采购反馈，查看产品问题。
胶囊皮偶尔出现黏连的情况是怎么回事？,胶囊皮的黏连源于它的硬度，受甘油和明胶的比例影响。由于新西兰的法规对甘油添加量有要求，所以添加量非常少。另外，明胶来源于纯牛骨和皮，在炎热的夏天，会出现部分黏连情况。
顾客吃了肽就睁不开眼，一天老困，睡不醒是怎么回事，停了一天，现在一天吃一粒也这样，有这种情况的吗？,需咨询专业人士，可能出现不良反应或身体不适。
顾客表示了自己有骨关节和睡眠问题，线上用户越多的门店样本量越多，如何处理这样的情况？,结合用户的真实诉求，可以针对性地推荐适合改善骨关节和睡眠问题的保健品，可以通过视频和直播进行精准推荐，提高转化率。
客户敷肽面膜后，用肽水涂抹脖子，然后骑电动车回家，现在过敏了是怎么回事，有没有知道的？,客户可能是由于外界环境引起的过敏反应，骑电动车时可能接触到了污染物或者过敏原，建议及时就医并停止使用该产品。
